ZipCode,City,County,State,LastUpdatedDate,AverageRent,MedianRent,AverageRentPerSqFt,MedianRentPerSqFt
75701,,,,2025-10-20T00:00:00.000Z,1573,1595,1.21,1.13
75702,,,,2025-10-20T00:00:00.000Z,1313,1250,1.27,1.16
75703,,,,2025-10-20T00:00:00.000Z,1812,1650,1.3,1.24
76001,,,,2025-10-20T00:00:00.000Z,2256,2195,1.32,1.29
78204,,,,2025-10-20T00:00:00.000Z,1687,1534,1.77,1.79
75001,,,,2025-10-20T00:00:00.000Z,2203,1995,1.94,1.82
75201,,,,2025-10-20T00:00:00.000Z,2706,2270,2.45,2.35
78701,,,,2025-10-20T00:00:00.000Z,3304,2894,3.56,3.37
76102,,,,2025-10-20T00:00:00.000Z,1750,1625,1.96,1.89
